iata,name,city,country,latitude,longitude,timezone
MRD,Alberto Carnevalli Airport,Merida,Venezuela,8.582078,-71.161041,America/Caracas
MRE,Mara Serena Lodge Airstrip,Masai Mara,Kenya,-1.406111,35.008057,Africa/Nairobi
MRF,Marfa Municipal Airport,Marfa,United States,30.369593,-104.015893,America/Chicago
MRI,Merrill Field,Anchorage,United States,61.212792,-149.843988,America/Anchorage
MRK,Marco Island Executive Airport,Marco Island,United States,25.995001,-81.672501,America/New_York
MRN,Foothills Regional Airport,Morganton,United States,35.820202,-81.611397,America/New_York
MRO,Hood Airport,Masterton,New Zealand,-40.974634,175.63454,Pacific/Auckland
MRQ,Marinduque Airport,Gasan,Philippines,13.3610000610352,121.825996398926,Asia/Manila
MRR,Jose Maria Velasco Ibarra Airport,Macara,Ecuador,-4.37823009491,-79.9410018921,America/Guayaquil
MRS,Marseille Provence Airport,Marseille,France,43.438088,5.2125,Europe/Paris
MRU,Sir Seewoosagur Ramgoolam International Airport,Port Louis,Mauritius,-20.430201,57.683601,Indian/Mauritius
MRV,Mineralnye Vody Airport,Mineralnyye Vody,Russia,44.225101,43.081902,Europe/Moscow
MRW,Lolland Falster Maribo Airport,Lolland Falster / Maribo,Denmark,54.699447,11.438163,Europe/Copenhagen
MRY,Monterey Regional Airport,Monterey,United States,36.586777,-121.844183,America/Los_Angeles
MRZ,Moree Airport,Moree,Australia,-29.4988994598,149.845001221,Australia/Sydney
MSA,Muskrat Dam Airport,Muskrat Dam,Canada,53.441399,-91.762802,America/Winnipeg
MSC,Falcon Field,Mesa,United States,33.4608,-111.727997,America/Phoenix
MSG,Matsaile Airport,Matsaile,Lesotho,-29.840562,28.77668,Africa/Maseru
MSH,RAFO Masirah,Masirah,Oman,20.6754,58.890499,Asia/Muscat
MSI,Masalembo Airport,Morro Agudo,Indonesia,-5.58333015441895,114.432998657227,America/Sao_Paulo
MSJ,Misawa Airport / Misawa Air Base,Misawa,Japan,40.703201,141.367996,Asia/Tokyo
MSL,Northwest Alabama Regional Airport,Muscle Shoals,United States,34.745123,-87.612981,America/Chicago
MSM,Masi Manimba Airport,Masi Manimba,Democratic Republic of the Congo,-4.783,17.85,Africa/Kinshasa
MSN,Dane County Regional Truax Field,Madison,United States,43.1399,-89.337502,America/Chicago
MSO,Missoula Montana Airport,Missoula,United States,46.915816,-114.091107,America/Denver
MSP,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,Minneapolis,United States,44.880081,-93.221741,America/Chicago
MSQ,Minsk National Airport,Minsk,Belarus,53.888071,28.039964,Europe/Minsk
MSR,Muş Airport,Mus,Turkey,38.7477989196777,41.6612014770508,Europe/Istanbul
MSS,Massena International Airport Richards Field,Massena,United States,44.936157,-74.844304,America/New_York
MST,Maastricht Aachen Airport,Maastricht,Netherlands,50.911087,5.769401,Europe/Amsterdam
MSU,Moshoeshoe I International Airport,Maseru,Lesotho,-29.456277,27.554456,Africa/Maseru
MSV,Sullivan County International Airport,Monticello,United States,41.701596,-74.794997,America/New_York
MSW,Massawa International Airport,Massawa,Eritrea,15.67,39.370098,Africa/Asmara
MSX,Mossendjo Airport,Mossendjo,Republic of the Congo,-2.95,12.7,Africa/Brazzaville
MSY,Louis Armstrong New Orleans International Airport,New Orleans,United States,29.993401,-90.258003,America/Chicago
